isoDateTime	precinctsTransmitted	Leodegario-De-Guzman	Francisco-Domagoso	Maria-Leonor-Robredo	Norberto-Gonzales	Panfilo-Lacson	Faisal-Mangondato	Ferdinand-Marcos-Jr	Jose-Montemayor-Jr	Emmanuel-Pacquiao	Ernesto-Abella
2022-05-10T03:53:11.000Z	104698	91227	1869550	14694836	87933	876320	245576	30790621	59374	3582508	112086
2022-05-10T04:06:16.000Z	104767	91297	1870103	14702029	88010	876556	245794	30806693	59426	3587012	112187
2022-05-10T04:11:31.000Z	104851	91376	1871162	14709954	88129	876991	246117	30826024	59468	3592771	112289
2022-05-10T04:28:44.000Z	104929	91473	1872369	14719785	88225	877395	246941	30845783	59519	3596743	112434
2022-05-10T04:41:16.000Z	104970	91499	1872955	14724725	88291	877627	246989	30855617	59537	3599071	112497
2022-05-10T05:01:45.000Z	105018	91539	1873537	14728618	88330	877936	247300	30870910	59573	3601983	112550
2022-05-10T05:24:02.000Z	105052	91558	1874232	14730889	88370	878021	248113	30878774	59588	3605065	112572
2022-05-10T05:31:00.000Z	105103	91611	1874976	14736323	88427	878273	248175	30893902	59612	3607397	112647
2022-05-10T05:46:53.000Z	105142	91647	1875460	14739597	88454	878419	248356	30904787	59635	3610121	112689
2022-05-10T05:56:49.000Z	105191	91669	1875847	14743588	88489	878639	248402	30922344	59649	3611977	112722
2022-05-10T06:11:58.000Z	105224	91683	1876278	14747023	88517	878767	248429	30934060	59659	3612621	112741
2022-05-10T06:26:05.000Z	105281	91718	1877086	14750489	88568	878937	248506	30949373	59707	3614170	112776
2022-05-10T06:54:33.000Z	105325	91746	1877510	14753883	88598	879102	248528	30958008	59718	3615534	112802
2022-05-10T07:01:57.000Z	105353	91752	1877935	14757228	88612	879225	248558	30963185	59737	3616782	112823
2022-05-10T07:16:25.000Z	105383	91767	1878691	14760810	88616	879438	248957	30969399	59743	3617070	112833
2022-05-10T07:31:47.000Z	105416	91785	1879335	14764282	88631	879631	249183	30975596	59751	3617923	112851
2022-05-10T07:49:04.000Z	105439	91795	1879677	14766231	88640	879732	249349	30978823	59757	3618236	112860
2022-05-10T08:05:55.000Z	105460	91812	1880059	14767798	88647	879815	249386	30982261	59765	3618873	112881
2022-05-10T08:31:07.000Z	105515	91838	1881126	14771802	88750	879903	250888	30988979	59783	3619739	112921
2022-05-10T08:52:34.000Z	105552	91847	1882128	14775449	88779	879968	253524	30993431	59792	3620974	112954
2022-05-10T09:10:56.000Z	105601	91863	1883252	14780371	88806	880206	254496	31002650	59802	3622305	112977
2022-05-10T10:00:12.000Z	105663	91896	1885363	14785073	88847	880479	254551	31021353	59823	3624946	113015
2022-05-10T10:56:53.000Z	105692	91906	1886053	14786906	88861	880568	254562	31025008	59837	3625890	113034
2022-05-10T11:27:23.000Z	105719	91922	1887120	14789406	88877	880705	254636	31033854	59843	3626166	113052
2022-05-10T11:43:32.000Z	105726	91926	1887676	14789892	88878	880744	254638	31035780	59843	3626192	113053
2022-05-10T12:05:38.000Z	105729	91928	1887770	14790393	88878	880765	254638	31036142	59845	3626198	113053
2022-05-10T12:42:37.000Z	105753	91940	1888082	14792161	88891	880848	254641	31039926	59852	3626900	113064
2022-05-10T13:03:28.000Z	105762	91943	1888477	14793286	88897	880907	255053	31041871	59854	3627077	113072
2022-05-10T13:33:35.000Z	105775	91951	1889245	14795743	88912	881047	255067	31044808	59858	3627181	113078
2022-05-10T14:10:19.000Z	105795	91960	1890695	14797581	88926	881128	255434	31048319	59865	3627879	113087
2022-05-10T15:09:26.000Z	105808	91967	1891259	14799576	88932	881213	255443	31051648	59871	3627979	113110
2022-05-10T16:05:53.000Z	105814	91969	1891865	14800450	88934	881243	255445	31052840	59873	3627995	113111

